id	label	parent	source
cs146	Genitive Construction (Apollonius' Corollary)	cs138	merged
cs147	With pronominal Adjective	cs138	cheatsheet
cs148	Generic Nouns	cs138	merged
cs149	Anarthrous Pre-Verbal Predicate Nominatives (involving Colwell's Rule)	cs138	merged
cs150	Article with Multiple Substantives Connected by Kai (Sharp's Rule & related constructions)	cs138	merged
cs151	Adjectives		merged
cs152	"""Non-Adjectival"" Uses of Adjective"	cs151	cheatsheet
cs153	Adverbial	cs152	merged
cs154	Substantival	cs152	merged
cs155	Degrees of the Adjective (Positive, Comparative, Superlative)	cs151	cheatsheet
cs156	Positive: Normal Use	cs155	merged
cs157	Positive for Comparative	cs155	merged
cs158	Positive for Superlative	cs155	merged
cs159	Comparative: Normal Use	cs155	cheatsheet
cs160	Comparative for Superlative	cs155	cheatsheet
cs161	Comparative for Elative	cs155	merged
cs162	"Superlative: ""Normal"" Use"	cs155	cheatsheet
cs163	Superlative for Elative	cs155	cheatsheet
cs164	Superlative for Comparative	cs155	cheatsheet
cs165	Relation of Adjective to Noun When Article is Present	cs151	merged
cs166	Attributive Positions: First Attributive	cs165	merged
cs167	Attributive Positions: Second Attributive	cs165	merged
cs168	Attributive Positions: Third Attributive	cs165	cheatsheet
cs169	Predicate Positions: First Predicate	cs165	merged
cs170	Predicate Positions: Second Predicate	cs165	cheatsheet
cs171	When Article is Absent	cs151	merged
cs172	Anarthrous Adjective-Noun Construction	cs171	cheatsheet
cs173	Anarthrous Noun-Adjective Construction	cs171	cheatsheet
cs174	Pronouns		merged
cs175	Personal Pronouns	cs174	merged
cs176	Nominative Uses: Emphasis (contrast, subject focus)	cs175	cheatsheet
cs177	Nominative Uses: Redundancy	cs175	cheatsheet
cs178	Oblique Cases: Normal Use (Anaphoric)	cs175	cheatsheet
cs179	Oblique Cases: Possessive	cs175	merged
cs180	Oblique Cases: Reflexive	cs175	merged
cs181	Demonstrative Pronouns	cs174	merged
cs182	Regular Uses (as Demonstratives): οὗτος, ἐκεῖνος, ὅδε	cs181	cheatsheet
cs183	Regular Uses: For Personal Pronouns	cs181	cheatsheet
cs184	Unusual Uses: Pleonastic (Redundant, Resumptive)	cs181	merged
cs185	Unusual Uses: Constructio ad Sensum (Gender, Number)	cs181	merged
cs186	Unusual Uses: Conceptual Antecedent/Postcedent	cs181	cheatsheet
cs187	Relative Pronouns	cs174	merged
cs188	ὃς: Regular Uses (as Relative Pronoun)	cs187	cheatsheet
cs189	ὃς Unusual Uses: Natural vs. Grammatical Gender	cs187	cheatsheet
cs190	ὃς Unusual Uses: Case	cs187	cheatsheet
cs191	ὃς Unusual Uses: Attraction	cs187	merged
cs192	ὃς Unusual Uses: Inverse Attraction	cs187	merged
cs193	ὃς Unusual Uses: Antecedent Complexities	cs187	cheatsheet
cs194	ὃς Unusual Uses: Omission of Antecedent	cs187	cheatsheet
cs195	ὃς Unusual Uses: Adverbial/Conjunctive	cs187	merged
cs196	ὅστις: Generic	cs187	cheatsheet
cs197	ὅστις: Qualitative	cs187	cheatsheet
cs198	Interrogative Pronouns	cs174	merged
cs199	τίς/τί (identifying)	cs198	cheatsheet
cs200	ποῖος/πόσος (qualitative, quantitative)	cs198	cheatsheet
